Allocated;Total Allocated; System Memory;Num Gc;Heap Allocated;Heap System;Heap Objects;Heap Released;
187864;187864;7801872;0;187864;3932160;656;3096576;
188192;188192;7801872;0;188192;3932160;666;3096576;
188320;188320;7801872;0;188320;3932160;671;3096576;
188448;188448;7801872;0;188448;3932160;676;3096576;
188904;188904;7801872;0;188904;3932160;686;3096576;
189360;189360;7801872;0;189360;3932160;696;3096576;
189488;189488;7801872;0;189488;3932160;701;3096576;
189616;189616;7801872;0;189616;3932160;706;3096576;
189744;189744;7801872;0;189744;3932160;711;3096576;
189872;189872;7801872;0;189872;3932160;716;3096576;
190000;190000;7801872;0;190000;3932160;721;3096576;
190128;190128;7801872;0;190128;3932160;726;3096576;
190256;190256;7801872;0;190256;3932160;731;3096576;
190384;190384;7801872;0;190384;3932160;736;3096576;
190512;190512;7801872;0;190512;3932160;741;3096576;
190640;190640;7801872;0;190640;3932160;746;3096576;
190768;190768;7801872;0;190768;3932160;751;3096576;
190896;190896;7801872;0;190896;3932160;756;3096576;
191024;191024;7801872;0;191024;3932160;761;3096576;
191152;191152;7801872;0;191152;3932160;766;3096576;
191280;191280;7801872;0;191280;3932160;771;3096576;
191408;191408;7801872;0;191408;3932160;776;3096576;
